Profili IPE,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
,190,x,30,B,123.8,190,394,18,18,15,157.7,11435,984,9.2,14,,,,,,,,,,,,,,,,,,,,,
1/2 IPE 400,380,x,10,A,63,200,180,8.6,13.5,21,80.2,6558,542,8.9,12.1,,,,,,,,,,,,,,,,,,,,,
1/2 IPE O 400,390,x,12,A,74.6,202,182,9.7,15.5,21,95,7893,627,8.8,12.6,,,,,,,,,,,,,,,,,,,,,
1/2 IPE 450,390,x,12,A,75.5,225,190,9.4,14.6,21,96.2,9857,707,9.8,13.9,,,,,,,,,,,,,,,,,,,,,
1/2 IPE O 450,400,x,12,A,83.9,228,192,11,17.6,21,106.8,11230,832,10.5,13.5,,,,,,,,,,,,,,,,,,,,,
1/2 IPE 500,400,x,12,A,83,250,200,10.2,16,21,105.8,13332,895,11.3,14.9,,,,,,,,,,,,,,,,,,,,,
1/2 IPE O 500,410,x,15,A,101.9,253,202,12,19,21,129.9,16701,1071,11.2,15.6,,,,,,,,,,,,,,,,,,,,,
1/2 IPE 550,410,x,15,A,101,275,210,11.1,17.2,24,128.7,19499,1145,12,17,,,,,,,,,,,,,,,,,,,,,
1/2 IPE O 550,420,x,15,A,110.7,278,212,12.7,20.2,24,141,21826,1318,12.7,16.6,,,,,,,,,,,,,,,,,,,,,
1/2 IPE 600,420,x,15,A,110.7,300,220,12,19,24,141,25375,1419,13.6,17.9,,,,,,,,,,,,,,,,,,,,,
1/2 IPE O 600,430,x,15,A,127.9,305,224,15,24,24,162.9,29831,1747,14.9,17.1,,,,,,,,,,,,,,,,,,,,,
1/2 IPE O 600,430,x,20,A,144.7,305,224,15,24,24,184.4,34207,1815,13.7,18.8,,,,,,,,,,,,,,,,,,,,,
1/2 HE 220 M,430,x,15,A,109.3,120,226,15.5,26,18,139.2,4209,581,6.3,7.2,,,,,,,,,,,,,,,,,,,,,
1/2 HE 240 M,450,x,20,A,149,135,248,18,32,21,189.8,7323,872,7.1,8.4,,,,,,,,,,,,,,,,,,,,,
1/2 HE 260 B,460,x,12,A,89.8,130,260,10,17.5,24,114.4,4252,553,6.5,7.7,,,,,,,,,,,,,,,,,,,,,
1/2 HE 260 M,470,x,20,A,160,145,268,18,32.5,24,203.8,9088,1036,7.7,8.8,,,,,,,,,,,,,,,,,,,,,
1/2 HE 280 M,490,x,20,A,171.2,155,288,18.5,33,24,218.1,11111,1214,8.3,9.2,,,,,,,,,,,,,,,,,,,,,
1/2 HE 280 M,490,x,25,A,190.4,155,288,18.5,33,24,242.6,12740,1272,8,10,,,,,,,,,,,,,,,,,,,,,
1/2 HE 300 B,500,x,15,A,117.4,150,300,11,19,27,149.5,7483,820,7.4,9.1,,,,,,,,,,,,,,,,,,,,,
1/2 HE 300 M,510,x,25,A,219,170,310,21,39,27,279,17207,1676,9.2,10.3,,,,,,,,,,,,,,,,,,,,,
1/2 HE 320 B,500,x,15,A,122.2,160,300,11.5,20.5,27,155.7,8806,931,8,9.5,,,,,,,,,,,,,,,,,,,,,
1/2 HE 320 M,510,x,25,A,222.6,179.5,309,21,40,27,283.5,19393,1814,9.8,10.7,,,,,,,,,,,,,,,,,,,,,
1/2 HE 320 M,510,x,30,A,242.6,179.5,309,21,40,27,309,21737,1887,9.4,11.5,,,,,,,,,,,,,,,,,,,,,
1/2 HE 340 B,500,x,15,A,126,170,300,12,21.5,27,160.4,10173,1033,8.7,9.8,,,,,,,,,,,,,,,,,,,,,
1/2 HE 340 M,510,x,25,A,224,188.5,309,21,40,27,285.4,21503,1930,10.2,11.1,,,,,,,,,,,,,,,,,,,,,
1/2 HE 340 M,510,x,30,A,244.1,188.5,309,21,40,27,310.9,24062,2005,9.8,12,,,,,,,,,,,,,,,,,,,,,
1/2 HE 360 B,500,x,15,A,129.8,180,300,12.5,22.5,27,165.3,11661,1140,9.3,10.2,,,,,,,,,,,,,,,,,,,,,
1/2 HE 360 M,510,x,25,A,225.2,197.5,308,21,40,27,286.9,23691,2040,10.6,11.6,,,,,,,,,,,,,,,,,,,,,
1/2 HE 360 M,510,x,30,A,245.2,197.5,308,21,40,27,312.4,26468,2118,10.3,12.5,,,,,,,,,,,,,,,,,,,,,
1/2 HE 400 B,500,x,20,A,156.1,200,300,13.5,24,27,198.9,17420,1407,9.6,12.4,,,,,,,,,,,,,,,,,,,,,
1/2 HE 400 M,510,x,25,A,228,216,307,21,40,27,290.4,28579,2276,11.5,12.6,,,,,,,,,,,,,,,,,,,,,
1/2 HE 400 M,510,x,30,A,248,216,307,21,40,27,315.9,31840,2357,11.1,13.5,,,,,,,,,,,,,,,,,,,,,
1/2 HE 450 B,500,x,20,A,164.1,225,300,14,26,27,209,22963,1707,11,13.5,,,,,,,,,,,,,,,,,,,,,
1/2 HE 450 M,510,x,25,A,231.7,239,307,21,40,27,295.2,35397,2580,12.7,13.7,,,,,,,,,,,,,,,,,,,,,
1/2 HE 450 M,510,x,30,A,251.8,239,307,21,40,27,320.7,39324,2667,12.2,14.7,,,,,,,,,,,,,,,,,,,,,
1/2 HE 500 A,500,x,20,A,156,245,300,12,23,27,198.8,25945,1722,11.4,15.1,,,,,,,,,,,,,,,,,,,,,
1/2 HE 500 B,500,x,20,A,172.2,250,300,14.5,28,27,219.3,29448,2034,12.5,14.5,,,,,,,,,,,,,,,,,,,,,
1/2 HE 500 M,510,x,25,A,235.2,262,306,21,40,27,299.6,42929,2882,13.8,14.9,,,,,,,,,,,,,,,,,,,,,
1/2 HE 500 M,510,x,30,A,255.2,262,306,21,40,27,325.1,47572,2974,13.2,16,,,,,,,,,,,,,,,,,,,,,
1/2 HE 550 A,500,x,20,A,161.6,270,300,12.5,24,27,205.9,32357,1990,12.7,16.3,,,,,,,,,,,,,,,,,,,,,
1/2 HE 550 B,500,x,20,A,178.2,275,300,15,29,27,227,36480,2334,13.9,15.6,,,,,,,,,,,,,,,,,,,,,
1/2 HE 550 B,500,x,25,A,197.8,275,300,15,29,27,252,40972,2406,13,17,,,,,,,,,,,,,,,,,,,,,
1/2 HE 550 M,510,x,25,A,239.2,286,306,21,40,27,304.7,51691,3210,15,16.1,,,,,,,,,,,,,,,,,,,,,
1/2 HE 550 M,510,x,30,A,259.2,286,306,21,40,27,330.2,57160,3307,14.3,17.3,,,,,,,,,,,,,,,,,,,,,
1/2 HE 550 M,510,x,35,A,279.2,286,306,21,40,27,355.7,62184,3393,13.8,18.3,,,,,,,,,,,,,,,,,,,,,
1/2 HE 600 A,500,x,20,A,167.4,295,300,13,25,27,213.2,39636,2275,14.1,17.4,,,,,,,,,,,,,,,,,,,,,
1/2 HE 600 B,500,x,20,A,184.5,300,300,15.5,30,27,235,44424,2652,15.2,16.8,,,,,,,,,,,,,,,,,,,,,
1/2 HE 600 B,500,x,25,A,204.1,300,300,15.5,30,27,260,49851,2732,14.3,18.2,,,,,,,,,,,,,,,,,,,,,
1/2 HE 600 M,510,x,30,A,262.8,310,305,21,40,27,334.8,67584,3636,15.4,18.6,,,,,,,,,,,,,,,,,,,,,
1/2 HE 600 M,510,x,35,A,282.9,310,305,21,40,27,360.3,73398,3727,14.8,19.7,,,,,,,,,,,,,,,,,,,,,
1/2 HE 650 A,500,x,20,A,173.3,320,300,13.5,26,27,220.8,47826,2577,15.4,18.6,,,,,,,,,,,,,,,,,,,,,
1/2 HE 650 B,500,x,25,A,210.5,325,300,16,31,27,268.2,59792,3077,15.6,19.4,,,,,,,,,,,,,,,,,,,,,
1/2 HE 650 M,510,x,25,A,246.8,334,305,21,40,27,314.4,71752,3869,17.4,18.5,,,,,,,,,,,,,,,,,,,,,
1/2 HE 650 M,510,x,30,A,266.8,334,305,21,40,27,339.9,79061,3979,16.5,19.9,,,,,,,,,,,,,,,,,,,,,
1/2 HE 650 M,510,x,35,A,286.8,334,305,21,40,27,365.4,85742,4075,15.9,21,,,,,,,,,,,,,,,,,,,,,
1/2 HE 280 A,80,x,40,B,63.3,162,280,8,13,24,80.6,4004,396,7.4,10.1,,,,,,,,,,,,,,,,,,,,,
1/2 HE 300 A,100,x,30,B,67.7,161,300,8.5,14,27,86.3,4375,417,7,10.5,,,,,,,,,,,,,,,,,,,,,
1/2 HP 360x109,170,x,20,B,81.2,180.3,370.5,12.9,12.9,15.2,103.5,6739,606,8.2,11.1,,,,,,,,,,,,,,,,,,,,,
1/2 HP 360x109,170,x,30,B,94.6,190.3,370.5,12.9,12.9,15.2,120.5,8714,831,9.8,10.5,,,,,,,,,,,,,,,,,,,,,
1/2 HP 360x133,170,x,20,B,92.8,180.4,373.3,15.6,15.6,15.2,118.2,7509,635,7.8,11.8,,,,,,,,,,,,,,,,,,,,,
1/2 HP 360x133,170,x,30,B,106.2,190.4,373.3,15.6,15.6,15.2,135.2,9768,866,9.3,11.3,,,,,,,,,,,,,,,,,,,,,
1/2 HP 360x152,170,x,30,B,116.1,190.3,375.5,17.9,17.9,15.2,147.9,10583,894,9,11.8,,,,,,,,,,,,,,,,,,,,,
1/2 HP 360x152,170,x,40,B,129.4,200.3,375.5,17.9,17.9,15.2,164.9,12904,1116,10.3,11.6,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x122,190,x,20,B,91,180,390,14,14,15,116,7597,678,8.2,11.2,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x122,190,x,30,B,105.9,190,390,14,14,15,135,9837,931,9.8,10.6,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x140,190,x,30,B,114.8,190,392,16,16,15,146.3,10658,958,9.5,11.1,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x140,190,x,40,B,129.7,200,392,16,16,15,165.3,12931,1199,10.8,10.8,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x158,190,x,30,B,123.8,190,394,18,18,15,157.7,11435,984,9.2,11.6,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x158,190,x,40,B,138.7,200,394,18,18,15,176.7,13926,1231,10.5,11.3,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x176,190,x,30,B,132.8,190,396,20,20,15,169.2,12179,1010,8.9,12.1,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x176,190,x,40,B,147.7,200,396,20,20,15,188.2,14874,1262,10.2,11.8,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x194,190,x,30,B,141.9,190,398,22,22,15,180.7,12899,1036,8.7,12.5,,,,,,,,,,,,,,,,,,,,,
1/2 HP 400x194,190,x,40,B,156.8,200,398,22,22,15,199.7,15785,1292,10,12.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profili SFB,,bp x tp,,,G,heff,b,tw,tf,r,A,Iy,Wel.y,z1,z2,,,,,,,,,,,,,,,,,,,,,
,,,,,[kg/m],[mm],[mm],[mm],[mm],[mm],[cm2],[cm4] ,[cm3],[cm],[cm],,,,,,,,,,,,,,,,,,,,,
,500,x,25,0,224.8,320,300,11.5,20.5,27,286.3,51847,2203,11,23.5,,,,,,,,,,,,,,,,,,,,,
HEB 140,340,x,10,,60.4,140,140,7,12,12,77,2580,250,4.7,10.3,,,,,,,,,,,,,,,,,,,,,
HEM 140,350,x,10,,90.7,160,146,13,22,12,115.6,5057,478,6.4,10.6,,,,,,,,,,,,,,,,,,,,,
HEM 140,350,x,15,,104.4,160,146,13,22,12,133.1,5735,501,6,11.5,,,,,,,,,,,,,,,,,,,,,
HEM 140,350,x,20,,118.2,160,146,13,22,12,150.6,6348,521,5.8,12.2,,,,,,,,,,,,,,,,,,,,,
HEB 160,360,x,10,,70.8,160,160,8,13,15,90.3,4058,356,5.6,11.4,,,,,,,,,,,,,,,,,,,,,
HEM 160,370,x,10,,105.2,180,166,14,23,15,134.1,7519,647,7.4,11.6,,,,,,,,,,,,,,,,,,,,,
HEM 160,370,x,15,,119.8,180,166,14,23,15,152.6,8465,675,7,12.5,,,,,,,,,,,,,,,,,,,,,
HEM 160,370,x,20,,134.3,180,166,14,23,15,171.1,9322,699,6.7,13.3,,,,,,,,,,,,,,,,,,,,,
HEM 160,370,x,25,,148.8,180,166,14,23,15,189.6,10122,723,6.5,14,,,,,,,,,,,,,,,,,,,,,
HEB 180,380,x,10,,81.1,180,180,8.5,14,15,103.3,6002,480,6.5,12.5,,,,,,,,,,,,,,,,,,,,,
HEB 180,380,x,15,,96,180,180,8.5,14,15,122.3,6734,497,6,13.5,,,,,,,,,,,,,,,,,,,,,
HEM 180,390,x,10,,119.5,200,186,14.5,24,15,152.3,10685,842,8.3,12.7,,,,,,,,,,,,,,,,,,,,,
HEM 180,390,x,15,,134.8,200,186,14.5,24,15,171.8,11952,875,7.8,13.7,,,,,,,,,,,,,,,,,,,,,
HEM 180,390,x,20,,150.1,200,186,14.5,24,15,191.3,13098,904,7.5,14.5,,,,,,,,,,,,,,,,,,,,,
HEM 180,390,x,25,,165.4,200,186,14.5,24,15,210.8,14165,932,7.3,15.2,,,,,,,,,,,,,,,,,,,,,
HEB 200,400,x,10,,92.7,200,200,9,15,18,118.1,8616,636,7.4,13.6,,,,,,,,,,,,,,,,,,,,,
HEB 200,400,x,15,,108.4,200,200,9,15,18,138.1,9628,656,6.8,14.7,,,,,,,,,,,,,,,,,,,,,
HEM 200,410,x,10,,135.2,220,206,15,25,18,172.3,14777,1076,9.3,13.7,,,,,,,,,,,,,,,,,,,,,
HEM 200,410,x,15,,151.3,220,206,15,25,18,192.8,16436,1114,8.8,14.7,,,,,,,,,,,,,,,,,,,,,
HEM 200,410,x,20,,167.4,220,206,15,25,18,213.3,17937,1149,8.4,15.6,,,,,,,,,,,,,,,,,,,,,
HEM 200,410,x,25,,183.5,220,206,15,25,18,233.8,19333,1181,8.1,16.4,,,,,,,,,,,,,,,,,,,,,
HEM 200,410,x,30,,199.6,220,206,15,25,18,254.3,20656,1212,8,17,,,,,,,,,,,,,,,,,,,,,
HEB 220,420,x,10,,104.4,220,220,9.5,16,18,133,11895,813,8.4,14.6,,,,,,,,,,,,,,,,,,,,,
HEB 220,420,x,15,,120.9,220,220,9.5,16,18,154,13243,838,7.7,15.8,,,,,,,,,,,,,,,,,,,,,
HEB 220,420,x,20,,137.4,220,220,9.5,16,18,175,14410,860,7.2,16.8,,,,,,,,,,,,,,,,,,,,,
HEM 220,430,x,10,,151.1,240,226,15.5,26,18,192.4,19826,1340,10.2,14.8,,,,,,,,,,,,,,,,,,,,,
HEM 220,430,x,15,,167.9,240,226,15.5,26,18,213.9,21941,1385,9.7,15.8,,,,,,,,,,,,,,,,,,,,,
HEM 220,430,x,20,,184.8,240,226,15.5,26,18,235.4,23859,1425,9.3,16.7,,,,,,,,,,,,,,,,,,,,,
HEM 220,430,x,25,,201.7,240,226,15.5,26,18,256.9,25638,1461,9,17.5,,,,,,,,,,,,,,,,,,,,,
HEM 220,430,x,30,,218.6,240,226,15.5,26,18,278.4,27320,1497,8.7,18.3,,,,,,,,,,,,,,,,,,,,,
HEB 240,440,x,10,,117.7,240,240,10,17,21,150,16121,1029,9.3,15.7,,,,,,,,,,,,,,,,,,,,,
HEB 240,440,x,15,,135,240,240,10,17,21,172,17883,1059,8.6,16.9,,,,,,,,,,,,,,,,,,,,,
HEB 240,440,x,20,,152.3,240,240,10,17,21,194,19414,1085,8.1,17.9,,,,,,,,,,,,,,,,,,,,,
HEM 240,450,x,10,,192,270,248,18,32,21,244.6,31491,1959,11.9,16.1,,,,,,,,,,,,,,,,,,,,,
HEM 240,450,x,15,,209.7,270,248,18,32,21,267.1,34545,2020,11.4,17.1,,,,,,,,,,,,,,,,,,,,,
HEM 240,450,x,20,,227.3,270,248,18,32,21,289.6,37361,2075,11,18,,,,,,,,,,,,,,,,,,,,,
HEM 240,450,x,25,,245,270,248,18,32,21,312.1,40001,2126,10.7,18.8,,,,,,,,,,,,,,,,,,,,,
HEM 240,450,x,30,,262.6,270,248,18,32,21,334.6,42510,2174,10.4,19.6,,,,,,,,,,,,,,,,,,,,,
HEM 240,450,x,35,,280.3,270,248,18,32,21,357.1,44923,2221,10.3,20.2,,,,,,,,,,,,,,,,,,,,,
HEM 240,450,x,40,,298,270,248,18,32,21,379.6,47268,2267,10.1,20.9,,,,,,,,,,,,,,,,,,,,,
HEB 260,460,x,10,,129.1,260,260,10,17.5,24,164.4,20962,1249,10.2,16.8,,,,,,,,,,,,,,,,,,,,,
HEB 260,460,x,15,,147.1,260,260,10,17.5,24,187.4,23176,1283,9.4,18.1,,,,,,,,,,,,,,,,,,,,,
HEB 260,460,x,20,,165.2,260,260,10,17.5,24,210.4,25099,1313,8.9,19.1,,,,,,,,,,,,,,,,,,,,,
HEM 260,470,x,10,,209.3,290,268,18,32.5,24,266.6,40022,2334,12.9,17.1,,,,,,,,,,,,,,,,,,,,,
HEM 260,470,x,15,,227.8,290,268,18,32.5,24,290.1,43732,2402,12.3,18.2,,,,,,,,,,,,,,,,,,,,,
HEM 260,470,x,20,,246.2,290,268,18,32.5,24,313.6,47153,2463,11.9,19.1,,,,,,,,,,,,,,,,,,,,,
HEM 260,470,x,25,,264.7,290,268,18,32.5,24,337.1,50357,2519,11.5,20,,,,,,,,,,,,,,,,,,,,,
HEM 260,470,x,30,,283.1,290,268,18,32.5,24,360.6,53396,2573,11.2,20.8,,,,,,,,,,,,,,,,,,,,,
HEM 260,470,x,35,,301.6,290,268,18,32.5,24,384.1,56312,2624,11,21.5,,,,,,,,,,,,,,,,,,,,,
HEM 260,470,x,40,,320,290,268,18,32.5,24,407.6,59136,2675,10.9,22.1,,,,,,,,,,,,,,,,,,,,,
HEB 280,480,x,10,,140.8,280,280,10.5,18,24,179.4,26666,1491,11.1,17.9,,,,,,,,,,,,,,,,,,,,,
HEB 280,480,x,15,,159.6,280,280,10.5,18,24,203.4,29402,1530,10.3,19.2,,,,,,,,,,,,,,,,,,,,,
HEB 280,480,x,20,,178.5,280,280,10.5,18,24,227.4,31782,1563,9.7,20.3,,,,,,,,,,,,,,,,,,,,,
HEM 280,490,x,10,,227,310,288,18.5,33,24,289.2,49970,2744,13.8,18.2,,,,,,,,,,,,,,,,,,,,,
HEM 280,490,x,15,,246.2,310,288,18.5,33,24,313.7,54422,2819,13.2,19.3,,,,,,,,,,,,,,,,,,,,,
HEM 280,490,x,20,,265.5,310,288,18.5,33,24,338.2,58528,2886,12.7,20.3,,,,,,,,,,,,,,,,,,,,,
HEM 280,490,x,25,,284.7,310,288,18.5,33,24,362.7,62371,2948,12.3,21.2,,,,,,,,,,,,,,,,,,,,,
HEM 280,490,x,30,,303.9,310,288,18.5,33,24,387.2,66010,3007,12,22,,,,,,,,,,,,,,,,,,,,,
HEM 280,490,x,35,,323.2,310,288,18.5,33,24,411.7,69494,3063,11.8,22.7,,,,,,,,,,,,,,,,,,,,,
HEM 280,490,x,40,,342.4,310,288,18.5,33,24,436.2,72860,3118,11.6,23.4,,,,,,,,,,,,,,,,,,,,,
HEB 300,500,x,10,,156.3,300,300,11,19,27,199.1,34165,1808,12.1,18.9,,,,,,,,,,,,,,,,,,,,,
HEB 300,500,x,15,,175.9,300,300,11,19,27,224.1,37557,1853,11.2,20.3,,,,,,,,,,,,,,,,,,,,,
HEB 300,500,x,20,,195.5,300,300,11,19,27,249.1,40521,1891,10.6,21.4,,,,,,,,,,,,,,,,,,,,,
HEB 300,500,x,25,,215.2,300,300,11,19,27,274.1,43185,1927,10.1,22.4,,,,,,,,,,,,,,,,,,,,,
HEM 300,510,x,10,,278,340,310,21,39,27,354.1,72574,3718,15.5,19.5,,,,,,,,,,,,,,,,,,,,,
HEM 300,510,x,15,,298,340,310,21,39,27,379.6,78460,3813,14.9,20.6,,,,,,,,,,,,,,,,,,,,,
HEM 300,510,x,20,,318,340,310,21,39,27,405.1,83961,3899,14.5,21.5,,,,,,,,,,,,,,,,,,,,,
HEM 300,510,x,25,,338,340,310,21,39,27,430.6,89158,3980,14.1,22.4,,,,,,,,,,,,,,,,,,,,,
HEM 300,510,x,30,,358,340,310,21,39,27,456.1,94113,4056,13.8,23.2,,,,,,,,,,,,,,,,,,,,,
HEM 300,510,x,35,,378,340,310,21,39,27,481.6,98877,4129,13.6,23.9,,,,,,,,,,,,,,,,,,,,,
HEM 300,510,x,40,,398.1,340,310,21,39,27,507.1,103490,4199,13.4,24.6,,,,,,,,,,,,,,,,,,,,,
HEB 320,500,x,10,,165.9,320,300,11.5,20.5,27,211.3,41220,2071,13.1,19.9,,,,,,,,,,,,,,,,,,,,,
HEB 320,500,x,15,,185.5,320,300,11.5,20.5,27,236.3,45202,2121,12.2,21.3,,,,,,,,,,,,,,,,,,,,,
HEB 320,500,x,20,,205.2,320,300,11.5,20.5,27,261.3,48699,2164,11.5,22.5,,,,,,,,,,,,,,,,,,,,,
HEB 320,500,x,25,,224.8,320,300,11.5,20.5,27,286.3,51847,2203,11,23.5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circolari a caldo,D,t ,M ,A ,I ,i ,Wel ,Wpl ,It ,Ct ,Sup. est.,L per ton,,,,,,,,,,,,,,,,,,,,,,,,
,[mm] ,[mm] ,[kg/m] ,[cm2] ,[cm4] ,[cm] ,[cm3] ,[cm3] ,[cm4] ,[cm3] ,[m2/m] ,[m/t] ,,,,,,,,,,,,,,,,,,,,,,,,
,21.3,2.6,1.2,1.53,0.681,0.668,0.639,0.915,1.36,1.28,0.067,834,2,,,,,,,,,,,,,,,,,,,,,,,
"D =21,3",21.3,2.3,1.08,1.37,0.629,0.677,0.59,0.834,1.26,1.18,0.067,927.9,,,,,,,,,,,,,,,,,,,,,,,,
"D =21,3",21.3,2.6,1.2,1.53,0.681,0.668,0.639,0.915,1.36,1.28,0.067,834,,,,,,,,,,,,,,,,,,,,,,,,
"D =21,3",21.3,3.2,1.43,1.82,0.768,0.65,0.722,1.06,1.54,1.44,0.067,700.1,,,,,,,,,,,,,,,,,,,,,,,,
"D = 26,9",26.9,2.3,1.4,1.78,1.36,0.874,1.01,1.4,2.71,2.02,0.085,716.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 26,9",26.9,2.6,1.56,1.98,1.48,0.864,1.1,1.54,2.96,2.2,0.085,641.8,,,,,,,,,,,,,,,,,,,,,,,,
"D = 26,9",26.9,3.2,1.87,2.38,1.7,0.846,1.27,1.81,3.41,2.53,0.085,534.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 33,7",33.7,2.6,1.99,2.54,3.09,1.1,1.84,2.52,6.19,3.67,0.106,501.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 33,7",33.7,3.2,2.41,3.07,3.6,1.08,2.14,2.99,7.21,4.28,0.106,415.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 33,7",33.7,4,2.93,3.73,4.19,1.06,2.49,3.55,8.38,4.97,0.106,341.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 42,4",42.4,2.6,2.55,3.25,6.46,1.41,3.05,4.12,12.9,6.1,0.133,391.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 42,4",42.4,3.2,3.09,3.94,7.62,1.39,3.59,4.93,15.2,7.19,0.133,323.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 42,4",42.4,4,3.79,4.83,8.99,1.36,4.24,5.92,18,8.48,0.133,264,,,,,,,,,,,,,,,,,,,,,,,,
"D = 48,3",48.3,2.6,2.93,3.73,9.78,1.62,4.05,5.44,19.6,8.1,0.152,341.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 48,3",48.3,3.2,3.56,4.53,11.6,1.6,4.8,6.52,23.2,9.59,0.152,281,,,,,,,,,,,,,,,,,,,,,,,,
"D = 48,3",48.3,4,4.37,5.57,13.8,1.57,5.7,7.87,27.5,11.4,0.152,228.8,,,,,,,,,,,,,,,,,,,,,,,,
"D = 48,3",48.3,5,5.34,6.8,16.2,1.54,6.69,9.42,32.3,13.4,0.152,187.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 60,3",60.3,2.6,3.7,4.71,19.7,2.04,6.52,8.66,39.3,13,0.189,270.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 60,3",60.3,3.2,4.51,5.74,23.5,2.02,7.78,10.4,46.9,15.6,0.189,221.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 60,3",60.3,4,5.55,7.07,28.2,2,9.34,12.7,56.3,18.7,0.189,180.1,,,,,,,,,,,,,,,,,,,,,,,,
"D = 60,3",60.3,5,6.82,8.69,33.5,1.96,11.1,15.3,67,22.2,0.189,146.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 76,1",76.1,2.6,4.71,6,40.6,2.6,10.7,14.1,81.2,21.3,0.239,212.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 76,1",76.1,3.2,5.75,7.33,48.8,2.58,12.8,17,97.6,25.6,0.239,173.8,,,,,,,,,,,,,,,,,,,,,,,,
"D = 76,1",76.1,4,7.11,9.06,59.1,2.55,15.5,20.8,118,31,0.239,140.6,,,,,,,,,,,,,,,,,,,,,,,,
"D = 76,1",76.1,5,8.77,11.2,70.9,2.52,18.6,25.3,142,37.3,0.239,114.1,,,,,,,,,,,,,,,,,,,,,,,,
"D = 88,9",88.9,3.2,6.76,8.62,79.2,3.03,17.8,23.5,158,35.6,0.279,147.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 88,9",88.9,4,8.38,10.7,96.3,3,21.7,28.9,193,43.3,0.279,119.4,,,,,,,,,,,,,,,,,,,,,,,,
"D = 88,9",88.9,5,10.3,13.2,116,2.97,26.2,35.2,233,52.4,0.279,96.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 88,9",88.9,6,12.3,15.6,135,2.94,30.4,41.3,270,60.7,0.279,81.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 88,9",88.9,6.3,12.8,16.3,140,2.93,31.5,43.1,280,63.1,0.279,77.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 101,6",101.6,3.2,7.77,9.89,120,3.48,23.6,31,240,47.2,0.319,128.8,,,,,,,,,,,,,,,,,,,,,,,,
"D = 101,6",101.6,4,9.63,12.3,146,3.45,28.8,38.1,293,57.6,0.319,103.9,,,,,,,,,,,,,,,,,,,,,,,,
"D = 101,6",101.6,5,11.9,15.2,177,3.42,34.9,46.7,355,69.9,0.319,84,,,,,,,,,,,,,,,,,,,,,,,,
"D = 101,6",101.6,6,14.1,18,207,3.39,40.7,54.9,413,81.4,0.319,70.7,,,,,,,,,,,,,,,,,,,,,,,,
"D = 101,6",101.6,6.3,14.8,18.9,215,3.38,42.3,57.3,430,84.7,0.319,67.5,,,,,,,,,,,,,,,,,,,,,,,,
"D = 101,6",101.6,8,18.5,23.5,260,3.32,51.1,70.3,519,102,0.319,54.2,,,,,,,,,,,,,,,,,,,,,,,,
"D = 101,6",101.6,10,22.6,28.8,305,3.26,60.1,84.2,611,120,0.319,44.3,,,,,,,,,,,,,,,,,,,,,,,,
"D = 114,3",114.3,3.2,8.77,11.2,172,3.93,30.2,39.5,345,60.4,0.359,114.1,,,,,,,,,,,,,,,,,,,,,,,,
"D = 114,3",114.3,4,10.9,13.9,211,3.9,36.9,48.7,422,73.9,0.359,91.9,,,,,,,,,,,,,,,,,,,,,,,,
